Name|Lattitude|Longitude
Lambert Airport Terminal 1|38.740427|-90.364487
Lambert Airport Terminal 2|38.736695|-90.356796
North Hanley Station|38.719997|-90.356341
North UMSL Station|38.713166|-90.306524
South UMSL Station|38.705341|-90.305072
Rock Road Station|38.685301|-90.301352
Wellston Station|38.66934|-90.298413
Delmar Loop Station|38.655739|-90.294636
Forest Park Station|38.647794|-90.284846
Central West End Station|38.635835|-90.26215
Grand Station|38.629464|-90.235171
Union Station|38.626595|-90.206772
Civic Center Station|38.624775|-90.203128
Stadium Station|38.623517|-90.194488
8th & Pine Station|38.628011|-90.192722
Convention Center Station|38.630188|-90.189449
Laclede's Landing/Arch Station|38.629498|-90.183618
East Riverfront Station|38.628454|-90.174719
5th & Missouri|38.625129|-90.159335
Emerson Park Station|38.628908|-90.136959
JJK Center Station|38.623283|-90.124428
Washington Park Station|38.61376|-90.095085
Fairview Heights Station|38.593586|-90.04773
Memorial Hospital Station|38.557592|-90.01553
Swansea Station|38.536122|-89.987255
Belleville Station|38.522013|-89.974618
College Station|38.516078|-89.919661
Shiloh-Scott|38.538634|-89.878925
Shrewsbury Station|38.593298|-90.319438
Sunnen Station|38.60752|-90.33029
Maplewood Station|38.61394|-90.331297
Brentwood Station|38.628307|-90.338
Richmond Heights Station|38.634986|-90.342176
Clayton Station|38.645629|-90.339652
Forsyth Station|38.649022|-90.328045
Big Bend U City Station|38.651622|-90.315078
Skinker Station|38.649379|-90.300598
